recording_id,outer_fold,model,alpha,inner_fold,mean_r2,n_validation_samples,selected
GROUP,0,M1_mel,0.001,0,0.35527113909024466,32130,False
GROUP,0,M1_mel,0.001,1,0.30048910979471777,32130,False
GROUP,0,M1_mel,0.001,2,0.22682094801732733,42840,False
GROUP,0,M1_mel,0.001,3,0.34376518823548463,41650,False
GROUP,0,M1_mel,0.001,mean,0.3032228994940778,148750,False
GROUP,0,M1_mel,0.01,0,0.3552711657366706,32130,False
GROUP,0,M1_mel,0.01,1,0.3004891468405022,32130,False
GROUP,0,M1_mel,0.01,2,0.22682100966915508,42840,False
GROUP,0,M1_mel,0.01,3,0.3437652086808798,41650,False
GROUP,0,M1_mel,0.01,mean,0.3032229367320323,148750,False
GROUP,0,M1_mel,0.1,0,0.3552714321190025,32130,False
GROUP,0,M1_mel,0.1,1,0.30048951717401584,32130,False
GROUP,0,M1_mel,0.1,2,0.22682162598939182,42840,False
GROUP,0,M1_mel,0.1,3,0.3437654130944273,41650,False
GROUP,0,M1_mel,0.1,mean,0.30322330899867644,148750,False
GROUP,0,M1_mel,1.0,0,0.3552740878806696,32130,False
GROUP,0,M1_mel,1.0,1,0.30049320825311077,32130,False
GROUP,0,M1_mel,1.0,2,0.2268277697145472,42840,False
GROUP,0,M1_mel,1.0,3,0.3437674532605842,41650,False
GROUP,0,M1_mel,1.0,mean,0.3032270205556497,148750,False
GROUP,0,M1_mel,10.0,0,0.35529994784728003,32130,False
GROUP,0,M1_mel,10.0,1,0.3005290399866932,32130,False
GROUP,0,M1_mel,10.0,2,0.22688752337296336,42840,False
GROUP,0,M1_mel,10.0,3,0.34378751493425463,41650,False
GROUP,0,M1_mel,10.0,mean,0.30326317228514293,148750,False
GROUP,0,M1_mel,100.0,0,0.3555265923076767,32130,False
GROUP,0,M1_mel,100.0,1,0.30083317627322625,32130,False
GROUP,0,M1_mel,100.0,2,0.22740584997696378,42840,False
GROUP,0,M1_mel,100.0,3,0.34397241913488663,41650,False
GROUP,0,M1_mel,100.0,mean,0.3035788721646089,148750,False
GROUP,0,M1_mel,1000.0,0,0.35717277018811777,32130,False
GROUP,0,M1_mel,1000.0,1,0.30290326255905464,32130,False
GROUP,0,M1_mel,1000.0,2,0.23113887873720862,42840,False
GROUP,0,M1_mel,1000.0,3,0.34543631391204155,41650,False
GROUP,0,M1_mel,1000.0,mean,0.30586658804507694,148750,True
GROUP,0,M2_mel_syl,0.001,0,0.4143000326994779,32130,False
GROUP,0,M2_mel_syl,0.001,1,0.3091101289714667,32130,False
GROUP,0,M2_mel_syl,0.001,2,0.2821385647025729,42840,False
GROUP,0,M2_mel_syl,0.001,3,0.37292265494278476,41650,False
GROUP,0,M2_mel_syl,0.001,mean,0.3419308449392448,148750,False
GROUP,0,M2_mel_syl,0.01,0,0.41430005886523824,32130,False
GROUP,0,M2_mel_syl,0.01,1,0.3091101662056496,32130,False
GROUP,0,M2_mel_syl,0.01,2,0.28213859477406755,42840,False
GROUP,0,M2_mel_syl,0.01,3,0.37292269267735567,41650,False
GROUP,0,M2_mel_syl,0.01,mean,0.3419308778599028,148750,False
GROUP,0,M2_mel_syl,0.1,0,0.41430032044345777,32130,False
GROUP,0,M2_mel_syl,0.1,1,0.30911053844255043,32130,False
GROUP,0,M2_mel_syl,0.1,2,0.28213889531559955,42840,False
GROUP,0,M2_mel_syl,0.1,3,0.37292306985962675,41650,False
GROUP,0,M2_mel_syl,0.1,mean,0.3419312069309659,148750,False
GROUP,0,M2_mel_syl,1.0,0,0.4143029284437225,32130,False
GROUP,0,M2_mel_syl,1.0,1,0.3091142504674268,32130,False
GROUP,0,M2_mel_syl,1.0,2,0.28214188366165394,42840,False
GROUP,0,M2_mel_syl,1.0,3,0.37292682564542445,41650,False
GROUP,0,M2_mel_syl,1.0,mean,0.34193448432008344,148750,False
GROUP,0,M2_mel_syl,10.0,0,0.4143283549768165,32130,False
GROUP,0,M2_mel_syl,10.0,1,0.3091504591228581,32130,False
GROUP,0,M2_mel_syl,10.0,2,0.28217028190796334,42840,False
GROUP,0,M2_mel_syl,10.0,3,0.37296302675555437,41650,False
GROUP,0,M2_mel_syl,10.0,mean,0.3419661125265784,148750,False
GROUP,0,M2_mel_syl,100.0,0,0.4145551092009633,32130,False
GROUP,0,M2_mel_syl,100.0,1,0.3094661197056955,32130,False
GROUP,0,M2_mel_syl,100.0,2,0.2823833950232303,42840,False
GROUP,0,M2_mel_syl,100.0,3,0.3732673998575923,41650,False
GROUP,0,M2_mel_syl,100.0,mean,0.34222987517065445,148750,False
GROUP,0,M2_mel_syl,1000.0,0,0.4162669421188079,32130,False
GROUP,0,M2_mel_syl,1000.0,1,0.31174110664416865,32130,False
GROUP,0,M2_mel_syl,1000.0,2,0.28331323467271474,42840,False
GROUP,0,M2_mel_syl,1000.0,3,0.3753519911118074,41650,False
GROUP,0,M2_mel_syl,1000.0,mean,0.3439425076298508,148750,True
GROUP,0,M3_mel_syl_boundary,0.001,0,0.37081161979691823,32130,False
GROUP,0,M3_mel_syl_boundary,0.001,1,0.3305948126595396,32130,False
GROUP,0,M3_mel_syl_boundary,0.001,2,0.2514786975724942,42840,False
GROUP,0,M3_mel_syl_boundary,0.001,3,0.3587912909390444,41650,False
GROUP,0,M3_mel_syl_boundary,0.001,mean,0.3243912157744056,148750,False
GROUP,0,M3_mel_syl_boundary,0.01,0,0.3708116368368868,32130,False
GROUP,0,M3_mel_syl_boundary,0.01,1,0.33059484871653877,32130,False
GROUP,0,M3_mel_syl_boundary,0.01,2,0.2514787670704366,42840,False
GROUP,0,M3_mel_syl_boundary,0.01,3,0.35879133463974233,41650,False
GROUP,0,M3_mel_syl_boundary,0.01,mean,0.3243912594949535,148750,False
GROUP,0,M3_mel_syl_boundary,0.1,0,0.3708118071762301,32130,False
GROUP,0,M3_mel_syl_boundary,0.1,1,0.3305952092141635,32130,False
GROUP,0,M3_mel_syl_boundary,0.1,2,0.25147946184203773,42840,False
GROUP,0,M3_mel_syl_boundary,0.1,3,0.35879177145584884,41650,False
GROUP,0,M3_mel_syl_boundary,0.1,mean,0.3243916965584695,148750,False
GROUP,0,M3_mel_syl_boundary,1.0,0,0.37081350461652296,32130,False
GROUP,0,M3_mel_syl_boundary,1.0,1,0.33059880708158096,32130,False
GROUP,0,M3_mel_syl_boundary,1.0,2,0.25148638911623034,42840,False
GROUP,0,M3_mel_syl_boundary,1.0,3,0.35879612086334833,41650,False
GROUP,0,M3_mel_syl_boundary,1.0,mean,0.3243960532340023,148750,False
GROUP,0,M3_mel_syl_boundary,10.0,0,0.3708299526130312,32130,False
GROUP,0,M3_mel_syl_boundary,10.0,1,0.33063417401526807,32130,False
GROUP,0,M3_mel_syl_boundary,10.0,2,0.25155389209323387,42840,False
GROUP,0,M3_mel_syl_boundary,10.0,3,0.3588380112106494,41650,False
GROUP,0,M3_mel_syl_boundary,10.0,mean,0.3244384154135458,148750,False
GROUP,0,M3_mel_syl_boundary,100.0,0,0.3709677678852611,32130,False
GROUP,0,M3_mel_syl_boundary,100.0,1,0.3309583850370936,32130,False
GROUP,0,M3_mel_syl_boundary,100.0,2,0.25214386367807684,42840,False
GROUP,0,M3_mel_syl_boundary,100.0,3,0.35918687632177604,41650,False
GROUP,0,M3_mel_syl_boundary,100.0,mean,0.3248058071406121,148750,False
GROUP,0,M3_mel_syl_boundary,1000.0,0,0.3718118191589893,32130,False
GROUP,0,M3_mel_syl_boundary,1000.0,1,0.3335788983463255,32130,False
GROUP,0,M3_mel_syl_boundary,1000.0,2,0.2563380026774006,42840,False
GROUP,0,M3_mel_syl_boundary,1000.0,3,0.36148637748015866,41650,False
GROUP,0,M3_mel_syl_boundary,1000.0,mean,0.3274059254466838,148750,True
GROUP,0,M4_mel_syl_structure,0.001,0,0.4057898973282179,32130,False
GROUP,0,M4_mel_syl_structure,0.001,1,0.37261367886148333,32130,False
GROUP,0,M4_mel_syl_structure,0.001,2,0.23315646116136624,42840,False
GROUP,0,M4_mel_syl_structure,0.001,3,0.36729082372443134,41650,False
GROUP,0,M4_mel_syl_structure,0.001,mean,0.3381256639142897,148750,False
GROUP,0,M4_mel_syl_structure,0.01,0,0.40578994797821144,32130,False
GROUP,0,M4_mel_syl_structure,0.01,1,0.37261369896288843,32130,False
GROUP,0,M4_mel_syl_structure,0.01,2,0.2331565230617887,42840,False
GROUP,0,M4_mel_syl_structure,0.01,3,0.36729085703072495,41650,False
GROUP,0,M4_mel_syl_structure,0.01,mean,0.3381257063496757,148750,False
GROUP,0,M4_mel_syl_structure,0.1,0,0.40579045434339656,32130,False
GROUP,0,M4_mel_syl_structure,0.1,1,0.37261389989522786,32130,False
GROUP,0,M4_mel_syl_structure,0.1,2,0.2331571417921302,42840,False
GROUP,0,M4_mel_syl_structure,0.1,3,0.36729118999871335,41650,False
GROUP,0,M4_mel_syl_structure,0.1,mean,0.3381261305513161,148750,False
GROUP,0,M4_mel_syl_structure,1.0,0,0.4057955047656816,32130,False
GROUP,0,M4_mel_syl_structure,1.0,1,0.37261590117885945,32130,False
GROUP,0,M4_mel_syl_structure,1.0,2,0.23316330215529746,42840,False
GROUP,0,M4_mel_syl_structure,1.0,3,0.36729451032666993,41650,False
GROUP,0,M4_mel_syl_structure,1.0,mean,0.3381303575962141,148750,False
GROUP,0,M4_mel_syl_structure,10.0,0,0.40584488164781396,32130,False
GROUP,0,M4_mel_syl_structure,10.0,1,0.37263521846891934,32130,False
GROUP,0,M4_mel_syl_structure,10.0,2,0.23322257274004043,42840,False
GROUP,0,M4_mel_syl_structure,10.0,3,0.36732689702010435,41650,False
GROUP,0,M4_mel_syl_structure,10.0,mean,0.33817133373997527,148750,False
GROUP,0,M4_mel_syl_structure,100.0,0,0.4062870837879857,32130,False
GROUP,0,M4_mel_syl_structure,100.0,1,0.3727965591016502,32130,False
GROUP,0,M4_mel_syl_structure,100.0,2,0.23370418473342058,42840,False
GROUP,0,M4_mel_syl_structure,100.0,3,0.36761101895735326,41650,False
GROUP,0,M4_mel_syl_structure,100.0,mean,0.33851995737544543,148750,False
GROUP,0,M4_mel_syl_structure,1000.0,0,0.4095301456068998,32130,False
GROUP,0,M4_mel_syl_structure,1000.0,1,0.3738241581840238,32130,False
GROUP,0,M4_mel_syl_structure,1000.0,2,0.23650025772591443,42840,False
GROUP,0,M4_mel_syl_structure,1000.0,3,0.36954689684650754,41650,False
GROUP,0,M4_mel_syl_structure,1000.0,mean,0.340789734960925,148750,True
GROUP,0,M5_full,0.001,0,0.34926252630803234,32130,False
GROUP,0,M5_full,0.001,1,0.4021769849446586,32130,False
GROUP,0,M5_full,0.001,2,0.24403198648954527,42840,False
GROUP,0,M5_full,0.001,3,0.3582655053563456,41650,False
GROUP,0,M5_full,0.001,mean,0.332906488039347,148750,False
GROUP,0,M5_full,0.01,0,0.3492625748126973,32130,False
GROUP,0,M5_full,0.01,1,0.4021770387965784,32130,False
GROUP,0,M5_full,0.01,2,0.24403203441258792,42840,False
GROUP,0,M5_full,0.01,3,0.3582655362718733,41650,False
GROUP,0,M5_full,0.01,mean,0.3329065326065534,148750,False
GROUP,0,M5_full,0.1,0,0.34926305974106964,32130,False
GROUP,0,M5_full,0.1,1,0.402177577192147,32130,False
GROUP,0,M5_full,0.1,2,0.24403251343247068,42840,False
GROUP,0,M5_full,0.1,3,0.3582658453853992,41650,False
GROUP,0,M5_full,0.1,mean,0.33290697815403814,148750,False
GROUP,0,M5_full,1.0,0,0.34926789737233677,32130,False
GROUP,0,M5_full,1.0,1,0.40218294899888674,32130,False
GROUP,0,M5_full,1.0,2,0.2440372828982348,42840,False
GROUP,0,M5_full,1.0,3,0.3582689324054973,41650,False
GROUP,0,M5_full,1.0,mean,0.33291142136441515,148750,False
GROUP,0,M5_full,10.0,0,0.3493152527746999,32130,False
GROUP,0,M5_full,10.0,1,0.40223562365307486,32130,False
GROUP,0,M5_full,10.0,2,0.2440831687615469,42840,False
GROUP,0,M5_full,10.0,3,0.35829943950731247,41650,False
GROUP,0,M5_full,10.0,mean,0.33295478497377234,148750,False
GROUP,0,M5_full,100.0,0,0.349737964271861,32130,False
GROUP,0,M5_full,100.0,1,0.40271247146642697,32130,False
GROUP,0,M5_full,100.0,2,0.24445492568430827,42840,False
GROUP,0,M5_full,100.0,3,0.35858448527717224,41650,False
GROUP,0,M5_full,100.0,mean,0.33333596859415926,148750,False
GROUP,0,M5_full,1000.0,0,0.35274004259877234,32130,False
GROUP,0,M5_full,1000.0,1,0.40619155770749704,32130,False
GROUP,0,M5_full,1000.0,2,0.24655998360433262,42840,False
GROUP,0,M5_full,1000.0,3,0.36072264008159316,41650,False
GROUP,0,M5_full,1000.0,mean,0.33594084016704806,148750,True
GROUP,1,M1_mel,0.001,0,0.38947585692524633,42840,False
GROUP,1,M1_mel,0.001,1,0.277124147618492,32130,False
GROUP,1,M1_mel,0.001,2,0.16056167242786823,42840,False
GROUP,1,M1_mel,0.001,3,0.3974194322669836,41650,False
GROUP,1,M1_mel,0.001,mean,0.3074133072519092,159460,False
GROUP,1,M1_mel,0.01,0,0.3894758819871462,42840,False
GROUP,1,M1_mel,0.01,1,0.2771242188971573,32130,False
GROUP,1,M1_mel,0.01,2,0.16056171088709692,42840,False
GROUP,1,M1_mel,0.01,3,0.3974194434621028,41650,False
GROUP,1,M1_mel,0.01,mean,0.3074133416035045,159460,False
GROUP,1,M1_mel,0.1,0,0.3894761325198851,42840,False
GROUP,1,M1_mel,0.1,1,0.2771249314784543,32130,False
