recording_id,channel,comparison,full_model,reduced_model,mean_delta_r2,std_delta_r2,positive_stimuli,n_stimuli,n_permutation_blocks,permutation_p_value,fdr_p_value,fdr_p_value_significant_0.05
sub004/sub004,EEG f12,syl_onset_after_mel,M2_mel_syl,M1_mel,0.001788021271284626,0.006772049065811016,10,13,5,0.09090909090909091,0.47809333523619235,False
sub004/sub004,EEG u5,syl_onset_after_mel,M2_mel_syl,M1_mel,0.005027643825230397,0.009199375630329708,9,13,5,0.2177822177822178,0.47809333523619235,False
sub004/sub004,EEG u6,syl_onset_after_mel,M2_mel_syl,M1_mel,0.009828877487838748,0.010605917773421914,11,13,5,0.08291708291708291,0.47809333523619235,False
sub004/sub004,EEG u7,syl_onset_after_mel,M2_mel_syl,M1_mel,0.060019285499220094,0.02323749662898417,13,13,5,0.029970029970029972,0.462037962037962,False
sub004/sub004,EEG u8,syl_onset_after_mel,M2_mel_syl,M1_mel,0.06652278851953566,0.024946959302822525,13,13,5,0.03696303696303696,0.462037962037962,False
sub004/sub004,EEG f12,boundary_after_syl,M3_mel_syl_boundary,M2_mel_syl,0.0005019571172385581,0.00202414712966402,7,13,5,0.2097902097902098,0.47809333523619235,False
sub004/sub004,EEG u5,boundary_after_syl,M3_mel_syl_boundary,M2_mel_syl,0.0010078453879682416,0.0046547779007369665,8,13,5,0.34865134865134867,0.5357142857142857,False
sub004/sub004,EEG u6,boundary_after_syl,M3_mel_syl_boundary,M2_mel_syl,0.0016025285033596322,0.002911596649813035,12,13,5,0.11988011988011989,0.47809333523619235,False
sub004/sub004,EEG u7,boundary_after_syl,M3_mel_syl_boundary,M2_mel_syl,0.000524832628564637,0.002140345065759092,6,13,5,0.2547452547452547,0.47809333523619235,False
sub004/sub004,EEG u8,boundary_after_syl,M3_mel_syl_boundary,M2_mel_syl,0.0004283468690789737,0.0018720149001585933,6,13,5,0.26673326673326675,0.47809333523619235,False
sub004/sub004,EEG f12,structure_after_syl,M4_mel_syl_structure,M2_mel_syl,-0.000259370414820851,0.0015093252329918734,4,13,5,1.0,1.0,False
sub004/sub004,EEG u5,structure_after_syl,M4_mel_syl_structure,M2_mel_syl,0.0006103924799335183,0.004961663705438037,10,13,5,0.45554445554445555,0.5423148280291138,False
sub004/sub004,EEG u6,structure_after_syl,M4_mel_syl_structure,M2_mel_syl,0.0010003760084378395,0.005256091540581858,9,13,5,0.4145854145854146,0.5357142857142857,False
sub004/sub004,EEG u7,structure_after_syl,M4_mel_syl_structure,M2_mel_syl,0.0018137049399948697,0.005234559327716593,9,13,5,0.24775224775224775,0.47809333523619235,False
sub004/sub004,EEG u8,structure_after_syl,M4_mel_syl_structure,M2_mel_syl,0.0008984448724469719,0.006015432025021265,8,13,5,0.3906093906093906,0.5357142857142857,False
sub004/sub004,EEG f12,structure_after_boundary,M5_full,M3_mel_syl_boundary,-0.0006177208034872863,0.0014726180488935992,5,13,5,1.0,1.0,False
sub004/sub004,EEG u5,structure_after_boundary,M5_full,M3_mel_syl_boundary,-2.921224609301417e-05,0.0035738398181223963,8,13,5,1.0,1.0,False
sub004/sub004,EEG u6,structure_after_boundary,M5_full,M3_mel_syl_boundary,0.00012613743689554162,0.005039717867626129,6,13,5,0.5084915084915085,0.5778312596494414,False
sub004/sub004,EEG u7,structure_after_boundary,M5_full,M3_mel_syl_boundary,0.001719428208439579,0.00587013076041012,9,13,5,0.17182817182817184,0.47809333523619235,False
sub004/sub004,EEG u8,structure_after_boundary,M5_full,M3_mel_syl_boundary,0.0007523293327065336,0.006053657273830811,8,13,5,0.42857142857142855,0.5357142857142857,False
sub004/sub004,EEG f12,boundary_after_structure,M5_full,M4_mel_syl_structure,0.0001436067285721227,0.002276311687217121,6,13,5,0.34965034965034963,0.5357142857142857,False
sub004/sub004,EEG u5,boundary_after_structure,M5_full,M4_mel_syl_structure,0.00036824066194170917,0.00444449405053452,8,13,5,0.37662337662337664,0.5357142857142857,False
sub004/sub004,EEG u6,boundary_after_structure,M5_full,M4_mel_syl_structure,0.0007282899318173344,0.0034785515165508883,9,13,5,0.24175824175824176,0.47809333523619235,False
sub004/sub004,EEG u7,boundary_after_structure,M5_full,M4_mel_syl_structure,0.00043055589700934625,0.0024323642864706864,8,13,5,0.2677322677322677,0.47809333523619235,False
sub004/sub004,EEG u8,boundary_after_structure,M5_full,M4_mel_syl_structure,0.00028223132933853537,0.0016813989544114233,8,13,5,0.22677322677322678,0.47809333523619235,False
